# id	name	description	rgb	
20138	Gargoyle		A9E89C
20139	Giant Bee		A9E89C
20140	Giant Leech		A9E89C
20141	Giant Wild Hog		A9E89C
20142	Griffon		A9E89C
20143	Grizzly		A9E89C
20144	Hangman Tree		A9E89C
20145	Harpy		A9E89C
20146	Headless Knight		A9E89C
20147	Hobgoblin		A9E89C
20148	Hungry Spirit		A9E89C
20149	Iron Golem		A9E89C
20150	King Bugbear		A9E89C
20151	Kobold		A9E89C
20152	Lizardman		A9E89C
20153	Magical Weaver		A9E89C
20154	Mandragora Sprout		A9E89C
20155	Mandragora Sapling		A9E89C
20156	Mandragora Blossom		A9E89C
20157	Marsh Stakato		A9E89C
20158	Medusa		A9E89C
20159	Minotaur		A9E89C
20160	Neer Crawler		A9E89C
20161	Oel Mahum		A9E89C
20162	Ogre		A9E89C
20163	Ol Mahum		A9E89C
20164	Ol Mahum Archer		A9E89C
20165	Ol Mahum Champion		A9E89C
20166	Succubus		A9E89C
20167	Serpent Slave		A9E89C
20168	Silenos		A9E89C
20169	Skeleton Royal Guard		A9E89C
20170	Spartoi		A9E89C
20171	Specter		A9E89C
20172	Sylph		A9E89C
20173	Troll		A9E89C
20174	Two-Headed Giant		A9E89C
20175	Walking Fungus		A9E89C
20176	Wyrm		A9E89C
20177	Zombie		A9E89C
20189	Puma		A9E89C
20190	Skeleton Marauder		A9E89C
20191	Skeleton Raider		A9E89C
20192	Tyrant		A9E89C
20193	Tyrant Kingpin		A9E89C
20194	Queen Undine		A9E89C
20197	Sorrow Maiden		A9E89C
20198	Neer Ghoul Berserker		A9E89C
20199	Amber Basilisk		A9E89C
20200	Strain		A9E89C
20201	Ghoul		A9E89C
20202	Dead Seeker		A9E89C
20203	Dion Grizzly		A9E89C
20204	Bloody Bee		A9E89C
20205	Dire Wolf		A9E89C
20206	Kadif Werewolf		A9E89C
20207	Ol Mahum Guerilla		A9E89C
20208	Ol Mahum Raider		A9E89C
20209	Ol Mahum Marksman		A9E89C
20210	Ol Mahum Sergeant		A9E89C
20211	Ol Mahum Captain		A9E89C
20212	Bloody Axe Turmak	Ol Mahum Lord	A9E89C
20213	Porta		A9E89C
20214	Excuro		A9E89C
20215	Mordeo		A9E89C
20216	Ricenseo		A9E89C
20217	Krator		A9E89C
20218	Premo		A9E89C
20219	Validus		A9E89C
20220	Dicor		A9E89C
20221	Perum		A9E89C
20222	Torfe		A9E89C
20223	Mandragora Sprout		A9E89C
20224	Ol Mahum Ranger		A9E89C
20225	Giant Mist Leech		A9E89C
20226	Gray Ant		A9E89C
20227	Horror Mist Ripper		A9E89C
20228	Giant Crimson Ant		A9E89C
20229	Stinger Wasp		A9E89C
20230	Marsh Stakato Worker		A9E89C
20231	Toad Lord		A9E89C
20232	Marsh Stakato Soldier		A9E89C
20233	Marsh Spider		A9E89C
20234	Marsh Stakato Drone		A9E89C
20235	Shackle		A9E89C
20236	Cave Servant		A9E89C
20237	Cave Servant Archer		A9E89C
20238	Cave Servant Warrior		A9E89C
20239	Cave Servant Captain		A9E89C
20240	Royal Cave Servant		A9E89C
20241	Hunter Gargoyle		A9E89C
20242	Dustwind Gargoyle		A9E89C
20243	Thunder Wyrm		A9E89C
20244	Maluk Succubus		A9E89C
20245	Maluk Succubus Turen		A9E89C
20246	Cave Keeper		A9E89C
20248	Turak Bugbear		A9E89C
20249	Turak Bugbear Warrior		A9E89C
20250	Glass Jaguar		A9E89C
20251	Delu Lizardman		A9E89C
20252	Delu Lizardman Scout		A9E89C
20253	Delu Lizardman Warrior		A9E89C
20254	Skeleton Axeman		A9E89C
20255	Batur Orc		A9E89C
20256	Batur Orc Archer		A9E89C
20257	Batur Orc Warrior		A9E89C
20258	Batur Orc Shaman		A9E89C
20259	Batur Orc Overlord		A9E89C
20260	Orc Champion		A9E89C
20261	Orc Shaman		A9E89C
20265	Monster Eye Searcher		A9E89C
20266	Monster Eye Gazer		A9E89C
20267	Breka Orc		A9E89C
20268	Breka Orc Archer		A9E89C
20269	Breka Orc Shaman		A9E89C
20270	Breka Orc Overlord		A9E89C
20271	Breka Orc Warrior		A9E89C
20272	Cave Servant		A9E89C
20273	Cave Servant Archer		A9E89C
20274	Cave Servant Warrior		A9E89C
20275	Cave Servant Captain		A9E89C
20276	Royal Cave Servant		A9E89C
20277	Cave Keeper		A9E89C
20279	Shackle		A9E89C
20280	Headless Knight		A9E89C
20281	Dustwind Gargoyle		A9E89C
20282	Thunder Wyrm		A9E89C
20283	Maluk Succubus		A9E89C
20284	Maluk Succubus Turen		A9E89C
20285	Drake		A9E89C
20286	Hunter Gargoyle		A9E89C
20287	Cave Maiden		A9E89C
20291	Enku Orc Champion		A9E89C
20292	Enku Orc Shaman		A9E89C
20293	Virud Lizardman		A9E89C
20294	Virud Lizardman Matriarch		A9E89C
20295	Virud Lizardman Warrior		A9E89C
20296	Virud Lizardman Scout		A9E89C
20297	Virud Lizardman Shaman 		A9E89C
20298	Virud Lizardman Shaman 		A9E89C
20299	Zenta Lizardman		A9E89C
20300	Zenta Lizardman Matriarch		A9E89C
20301	Zenta Lizardman Scout		A9E89C
20302	Zenta Lizardman Warrior		A9E89C
20303	Zenta Lizardman Shaman		A9E89C
20304	Marsh Stakato Queen		A9E89C
20305	Grave		A9E89C
20307	Garum Werewolf		A9E89C
20308	Hook Spider		A9E89C
20309	Brown Fox		A9E89C
20310	Brown Bear		A9E89C
20311	Rakeclaw Imp		A9E89C
20312	Rakeclaw Imp Hunter		A9E89C
20313	Rakeclaw Imp Chieftain		A9E89C
20314	Great White Shark		A9E89C
20316	Darkwing Bat		A9E89C
20317	Black Wolf		A9E89C
20318	Black Timber Wolf		A9E89C
20319	Goblin Grave Robber		A9E89C
20320	Goblin Tomb Raider Leader		A9E89C
20321	Goblin Thief		A9E89C
20322	Goblin Brigand		A9E89C
20323	Goblin Brigand Leader		A9E89C
20324	Goblin Brigand Lieutenant		A9E89C
20325	Goblin Raider		A9E89C
20326	Goblin Scout		A9E89C
20327	Goblin Snooper		A9E89C
20328	Goblin Lookout		A9E89C
20329	Ghost Guardian		A9E89C
20330	Mineshaft Bat		A9E89C
20331	Monster Eye Tracker		A9E89C
20333	Greystone Golem		A9E89C
20334	Gremlin Scavenger		A9E89C
20335	Grizzly Bear		A9E89C
20336	Green Dryad		A9E89C
20337	Longtail Fox		A9E89C
20338	Nightmare Weaver		A9E89C
20340	Slave Skeleton		A9E89C
20341	Undead Slave		A9E89C
20342	Werewolf Chieftain		A9E89C
20343	Werewolf Hunter		A9E89C
20345	Dark Terror		A9E89C
20346	Darkstone Golem		A9E89C
20347	Doom Wraith		A9E89C
20348	Cave Spider		A9E89C
20349	Cave Bat		A9E89C
20350	Cave Fang Spider		A9E89C
20351	Dre Vanul Tracker		A9E89C
20352	Dre Vanul Slayer		A9E89C
20353	Dre Vanul Beholder		A9E89C
20354	Dwarf Ghost		A9E89C
20356	Langk Lizardman Leader		A9E89C
20357	Langk Lizardman Lieutenant		A9E89C
20358	Ratman Hunter		A9E89C
20359	Ratman Warrior		A9E89C
20360	Ratman Spy		A9E89C
20361	Tunath Orc Marksman		A9E89C
20362	Tunath Orc Warrior		A9E89C
20363	Maraku Werewolf		A9E89C
20364	Maraku Werewolf Chieftain		A9E89C
20365	Mountain Fungus		A9E89C
20367	Merkenis's Escort		A9E89C
20368	Grave Keeper		A9E89C
20369	Moonstone Beast		A9E89C
20370	Barbed Bat		A9E89C
20371	Mist Terror		A9E89C
20372	Baraq Orc Fighter		A9E89C
20373	Baraq Orc Warrior Leader		A9E89C
20374	Varangka's Guard		A9E89C
20375	Varangka's Escort		A9E89C
20376	Varikan Brigand Leader		A9E89C
20377	Varika's Bandit		A9E89C
20378	Stone Giant		A9E89C
20379	Stone Soldier		A9E89C
20380	Stone Guardian		A9E89C
20381	Vaiss Orc		A9E89C
20382	Vaiss Orc Warrior Leader		A9E89C
20383	Arachnid Hunter		A9E89C
20385	Balor Orc Archer		A9E89C
20386	Balor Orc Fighter		A9E89C
20387	Balor Orc Fighter Leader		A9E89C
20388	Balor Orc Lieutenant		A9E89C
20389	Boogle Ratman		A9E89C
20390	Boogle Ratman Leader		A9E89C
20391	Red Fox		A9E89C
20392	Redeye Bat		A9E89C
20393	Red Scavenger Spider		A9E89C
20394	Crimson Tarantula		A9E89C
20398	Vrykolakas		A9E89C
20399	Vrykolakas Wolfkin		A9E89C
20400	Blood Fungus		A9E89C
20401	Veelan Bugbear		A9E89C
20402	Veelan Bugbear Warrior		A9E89C
20403	Hunter Tarantula		A9E89C
20404	Silent Horror		A9E89C
20405	Young Brown Fox		A9E89C
20406	Young Red Fox		A9E89C
20407	Young Crimson Fox		A9E89C
20410	Scavenger Spider		A9E89C
20411	Scavenger Bat		A9E89C
20412	Susceptor		A9E89C
20415	Scarlet Salamander		A9E89C
20416	Scarlet Salamander Elder		A9E89C
20418	Crystalline Beast		A9E89C
20419	Akaste Succubus		A9E89C
20420	Akaste Succubus Turen		A9E89C
20421	Akaste Succubus Tilfo		A9E89C
20422	Akaste Bone Warlord		A9E89C
20423	Akaste Bone Archer		A9E89C
20424	Akaste Bone Lord		A9E89C
20425	Akaste Bone Soldier		A9E89C
20426	Evil Eye		A9E89C
20427	Evil Eye Watcher		A9E89C
20428	Evil Eye Patroller		A9E89C
20429	Evil Eye Lookout		A9E89C
20431	Elf Ghost		A9E89C
20432	Elpy		A9E89C
20433	Festering Bat		A9E89C
20435	Opal Beast		A9E89C
20436	Ol Mahum Supplier		A9E89C
20437	Ol Mahum Recruit		A9E89C
20438	Ol Mahum General		A9E89C
20439	Ol Mahum Officer		A9E89C
20440	Elder Brown Fox		A9E89C
20441	Elder Longtail Fox		A9E89C
20442	Elder Wolf		A9E89C
20443	Elder Red Fox		A9E89C
20444	Elder Prairie Fox		A9E89C
20445	Uthanka Pirate		A9E89C
20446	Utuku Orc		A9E89C
20447	Utuku Orc Archer		A9E89C
20448	Utuku Orc Grunt		A9E89C
20449	Will-O-Wisp		A9E89C
20450	Relic Werewolf		A9E89C
20451	Relic Spartoi		A9E89C
20453	Human Ghost		A9E89C
20454	Oblivion Watcher		A9E89C
20455	Doom Soldier		A9E89C
20456	Ashen Wolf		A9E89C
20457	Zombie Soldier		A9E89C
20458	Zombie Warrior		A9E89C
20460	Crimson Spider		A9E89C
20461	Dungeon Spider		A9E89C
20462	Cave Blade Spider		A9E89C
20463	Dungeon Skeleton Archer		A9E89C
20464	Dungeon Skeleton		A9E89C
20465	Prairie Fox		A9E89C
20466	Pincer Spider		A9E89C
20468	Kaboo Orc		A9E89C
20469	Kaboo Orc Archer		A9E89C
20470	Kaboo Orc Grunt		A9E89C
20471	Kaboo Orc Fighter		A9E89C
20472	Kaboo Orc Fighter Leader		A9E89C
20473	Kaboo Orc Fighter Lieutenant		A9E89C
20474	Kasha Spider		A9E89C
20475	Kasha Wolf		A9E89C
20476	Kasha Fang Spider		A9E89C
20477	Kasha Timber Wolf		A9E89C
20478	Kasha Blade Spider		A9E89C
20479	Kasha Bear		A9E89C
20480	Blade Bat		A9E89C
20481	Bearded Keltir		A9E89C
20483	Corpse Candle		A9E89C
20487	Kuruka Ratman		A9E89C
20488	Kuruka Ratman Hunter		A9E89C
20489	Quicksilver Beast		A9E89C
20490	Death Doll		A9E89C
20491	Crypt Horror		A9E89C
20492	Kirunak's Guards		A9E89C
20494	Turek War Hound		A9E89C
20495	Turek Orc Warlord		A9E89C
20496	Turek Orc Archer		A9E89C
20497	Turek Orc Skirmisher		A9E89C
20498	Turek Orc Supplier		A9E89C
20499	Turek Orc Footman		A9E89C
20500	Turek Orc Sentinel		A9E89C
20501	Turek Orc Shaman		A9E89C
20502	Twink Puma		A9E89C
20504	Dread Soldier		A9E89C
20505	Ruin Bat		A9E89C
20506	Ruin Imp		A9E89C
20507	Ruin Imp Elder		A9E89C
20508	Plunder Tarantula		A9E89C
20509	Spore Fungus		A9E89C
20510	Puma		A9E89C
20511	Pitchstone Golem		A9E89C
20512	Field Stalker		A9E89C
20513	Skeleton Knight		A9E89C
20514	Shield Skeleton		A9E89C
20515	Skeleton Infantryman		A9E89C
20516	Skeleton Sentinel		A9E89C
20517	Skeleton Hunter		A9E89C
20518	Skeleton Hunter Archer		A9E89C
20519	Skeleton Pikeman		A9E89C
20520	Pirate Captain Uthanka		A9E89C
20521	Whinstone Golem		A9E89C
20522	White Fang		A9E89C
20524	Grey Wolf Elder		A9E89C
20525	Gray Wolf		A9E89C
20526	Obsidian Golem		A9E89C
20527	Great Snow Wolf		A9E89C
20528	Goblin Lord		A9E89C
20529	Young Brown Keltir		A9E89C
20530	Young Red Keltir		A9E89C
20531	Young Prairie Keltir		A9E89C
20532	Brown Keltir		A9E89C
20533	Longtail Keltir		A9E89C
20534	Red Keltir		A9E89C
20535	Prairie Keltir		A9E89C
20536	Elder Brown Keltir		A9E89C
20537	Elder Red Keltir		A9E89C
20538	Elder Prairie Keltir		A9E89C
20539	Elder Longtail Keltir		A9E89C
20540	Gemstone Beast		A9E89C
20541	Ore Bat		A9E89C
20542	Skeleton Longbowman		A9E89C
20543	Ghost		A9E89C
20544	Elder Keltir		A9E89C
20545	Young Keltir		A9E89C
20546	Turek Orc Elder		A9E89C
20547	Ol Mahum Reserve		A9E89C
20548	Ol Mahum Deserter		A9E89C
20549	Ol Mahum Lord		A9E89C
20550	Guardian Basilisk		A9E89C
20551	Road Scavenger		A9E89C
20552	Fettered Soul		A9E89C
20553	Windsus		A9E89C
20554	Grandis		A9E89C
20555	Giant Fungus		A9E89C
20556	Giant Monstereye		A9E89C
20557	Dire Wyrm		A9E89C
20558	Rotting tree		A9E89C
20559	Rotting Golem		A9E89C
20560	Trisalim Spider		A9E89C
20561	Trisalim Tarantula		A9E89C
20562	Spore Zombie		A9E89C
20563	Manashen Gargoyle		A9E89C
20564	Enchanted Monstereye		A9E89C
20565	Enchanted Stone Golem		A9E89C
20566	Enchanted Iron Golem		A9E89C
20567	Enchanted Gargoyle		A9E89C
20568	Formor		A9E89C
20569	Formor Elder		A9E89C
20570	Tarlk Bugbear		A9E89C
20571	Tarlk Bugbear Warrior		A9E89C
20572	Tarlk Bugbear High Warrior		A9E89C
20573	Tarlk Basilisk		A9E89C
20574	Elder Tarlk Basilisk 		A9E89C
20575	Oel Mahum Warrior		A9E89C
20576	Oel Mahum Witch Doctor		A9E89C
20577	Leto Lizardman		A9E89C
20578	Leto Lizardman Archer		A9E89C
20579	Leto Lizardman Soldier		A9E89C
20580	Leto Lizardman Warrior		A9E89C
20581	Leto Lizardman Shaman		A9E89C
20582	Leto Lizardman Overlord		A9E89C
20583	Timak Orc		A9E89C
20584	Timak Orc Archer		A9E89C
20585	Timak Orc Soldier		A9E89C
20586	Timak Orc Warrior		A9E89C
20587	Timak Orc Shaman		A9E89C
20588	Timak Orc Overlord		A9E89C
20589	Fline		A9E89C
20590	Liele		A9E89C
20591	Valley Treant		A9E89C
20592	Satyr		A9E89C
20593	Unicorn		A9E89C
20594	Forest Runner		A9E89C
20595	Fline Elder		A9E89C
20596	Liele Elder		A9E89C
20597	Valley Treant Elder		A9E89C
20598	Satyr Elder		A9E89C
20599	Unicorn Elder		A9E89C
20600	Karul Bugbear		A9E89C
20601	Tamlin Orc		A9E89C
20602	Tamlin Orc Archer		A9E89C
20603	Kronbe Spider		A9E89C
20604	Lakin		A9E89C
20605	Weird Drake		A9E89C
20606	Kuran Kobold		A9E89C
20607	Kuran Kobold Warrior		A9E89C
20608	Patin Archer		A9E89C
20609	Lakin Salamander		A9E89C
20610	Sentinel Of Water		A9E89C
20611	Dre Vanul Warrior		A9E89C
20612	Salamander Rowin		A9E89C
20613	Lafi Lizardman		A9E89C
20614	Lafi Lizardman Scout		A9E89C
20615	Ritmal Swordsman		A9E89C
20616	Lakin Undine		A9E89C
20617	Sentinel Of Water		A9E89C
20618	Kanil Succubus		A9E89C
20619	Rowin Undine		A9E89C
20620	Cave Beast		A9E89C
20621	Death Wave		A9E89C
20622	Maluk Soldier		A9E89C
20623	Plando		A9E89C
20624	Cave Howler		A9E89C
20625	Maluk Knight		A9E89C
20626	Maluk Berserker		A9E89C
20627	Maluk Lord		A9E89C
20628	Limal Karinness		A9E89C
20629	Karik		A9E89C
20630	Taik Orc		A9E89C
20631	Taik Orc Archer		A9E89C
20632	Taik Orc Warrior		A9E89C
20633	Taik Orc Shaman		A9E89C
20634	Taik Orc Captain		A9E89C
20635	Carinkain		A9E89C
20636	Forest of Mirrors Ghost		A9E89C
20637	Forest of Mirrors Ghost		A9E89C
20638	Forest of Mirrors Ghost		A9E89C
20639	Mirror		A9E89C
20640	Harit Lizardman		A9E89C
20641	Harit Lizardman Grunt		A9E89C
20642	Harit Lizardman Archer		A9E89C
20643	Harit Lizardman Warrior		A9E89C
20644	Harit Lizardman Shaman		A9E89C
20645	Harit Lizardman Matriarch		A9E89C
20646	Halingka		A9E89C
20647	Yintzu		A9E89C
20648	Paliote		A9E89C
20649	Hamrut		A9E89C
20650	Kranrot		A9E89C
20651	Gamlin		A9E89C
20652	Leogul		A9E89C
20653	Lesser Giant		A9E89C
20654	Lesser Giant Soldier		A9E89C
20655	Lesser Giant Shooter		A9E89C
20656	Lesser Giant Scout		A9E89C
20657	Lesser Giant Mage		A9E89C
20658	Lesser Giant Elder		A9E89C
20659	Grave Wanderer		A9E89C
20660	Archer of Greed		A9E89C
20661	Hatar Ratman Thief		A9E89C
20662	Hatar Ratman Boss		A9E89C
20663	Hatar Hanishee		A9E89C
20664	Deprive		A9E89C
20665	Taik Orc Supply		A9E89C
20666	Taik Orc Seeker		A9E89C
20667	Farcran		A9E89C
20668	Grave Guard		A9E89C
20669	Taik Orc Supply Leader		A9E89C
20670	Crimson Drake		A9E89C
20671	Kadios		A9E89C
20672	Trives		A9E89C
20673	Falibati		A9E89C
20674	Doom Knight		A9E89C
20675	Tairim		A9E89C
20676	Judge of Marsh		A9E89C
20677	Tulben		A9E89C
20678	Tortured Undead		A9E89C
20679	Marsh Stalker		A9E89C
20680	Marsh Drake		A9E89C
20681	Vanor Silenos		A9E89C
20682	Vanor Silenos Grunt		A9E89C
20683	Vanor Silenos Scout		A9E89C
20684	Vanor Silenos Warrior		A9E89C
20685	Vanor Silenos Shaman		A9E89C
20686	Vanor Silenos Chieftain		A9E89C
20738	Kobold Looter Bepook		A9E89C
20739	Bepook's Pet		A9E89C
20742	Mystical Weaver		A9E89C
20743	Howler		A9E89C
20744	Red Eye Vampire Bat		A9E89C
20745	Gigantiops		A9E89C
20746	Young Gigantiops		A9E89C
20747	Roxide		A9E89C
20748	Roxide Cohort		A9E89C
20749	Death Fire		A9E89C
20750	Fire Archer		A9E89C
20751	Snipe		A9E89C
20752	Snipe Cohort		A9E89C
20753	Dark Lord		A9E89C
20754	Dark Knight		A9E89C
20755	Talakin		A9E89C
20756	Talakin Archer		A9E89C
20757	Talakin Raider		A9E89C
20758	Dragon Bearer Chief		A9E89C
20759	Dragon Bearer Warrior		A9E89C
20760	Dragon Bearer Archer		A9E89C
20761	Pytan		A9E89C
20762	Pytan Knight		A9E89C
20763	Lord of the Plains		A9E89C
20764	Shaman of the Plains		A9E89C
20765	Warrior of the Plains		A9E89C
20766	Scout of the Plains		A9E89C
20767	Timak Orc Troop Leader		A9E89C
20768	Timak Orc Troop Shaman		A9E89C
20769	Timak Orc Troop Warrior		A9E89C
20770	Timak Orc Troop Archer		A9E89C
20771	Barif		A9E89C
20772	Barif's Pet		A9E89C
20773	Conjurer Bat Lord		A9E89C
20774	Conjurer Bat 		A9E89C
20775	Bugbear Raider		A9E89C
20776	Dark Succubus		A9E89C
20777	Hunter Bear		A9E89C
20778	Ragna Orc Overlord		A9E89C
20779	Ragna Orc Seer		A9E89C
20780	Bloody Axe Elite		A9E89C
20781	Delu Lizardman Shaman		A9E89C
20782	Ol Mahum Novice		A9E89C
20783	Dread Wolf		A9E89C
20784	Tasaba Lizardman		A9E89C
20785	Tasaba Lizardman Shaman		A9E89C
20786	Lienrik		A9E89C
20787	Lienrik Lad		A9E89C
20788	Rakul		A9E89C
20789	Crokian		A9E89C
20790	Dailaon		A9E89C
20791	Crokian Warrior		A9E89C
20792	Farhite		A9E89C
20793	Nos		A9E89C
20794	Blade Stakato		A9E89C
20795	Blade Stakato Worker		A9E89C
20796	Blade Stakato Warrior		A9E89C
20797	Blade Stakato Drone		A9E89C
20798	Water Giant		A9E89C
20799	Queen Undine Lad		A9E89C
20800	Eva's Seeker		A9E89C
20801	Theeder Piker		A9E89C
20802	Theeder Mage		A9E89C
20803	Doll Master		A9E89C
20804	Crokian Lad		A9E89C
20805	Dailaon Lad		A9E89C
20806	Crokian Lad Warrior		A9E89C
20807	Farhite Lad		A9E89C
20808	Nos Lad		A9E89C
20809	Ghost of the Tower		A9E89C
20810	Hallate's Seer		A9E89C
20811	Ghastly Warrior		A9E89C
20812	Archer of Despair		A9E89C
20813	Crendion		A9E89C
20814	Blader of Despair		A9E89C
20815	Hound Dog of Hallate		A9E89C
20816	Hallate's Royal Guard		A9E89C
20817	Corrupt Sage		A9E89C
20818	Hallate's Warrior		A9E89C
20819	Archer of Abyss		A9E89C
20820	Hallate's Knight		A9E89C
20821	Erin Ediunce		A9E89C
20822	Hallate's Maid		A9E89C
20823	Platinum Tribe Soldier		A9E89C
20824	Hallate's Commander		A9E89C
20825	Hallate's Inspector		A9E89C
20826	Platinum Tribe Archer		A9E89C
20827	Platinum Tribe Warrior		A9E89C
20828	Platinum Tribe Shaman		A9E89C
20829	Platinum Tribe Overlord		A9E89C
20830	Guardian Angel		A9E89C
20831	Seal Angel		A9E89C
20832	Zaken's Pikeman		A9E89C
20833	Zaken's Archer		A9E89C
20834	Mardian		A9E89C
20835	Zaken's Seer		A9E89C
20836	Pirate Zombie		A9E89C
20837	Tainted Ogre		A9E89C
20838	Bloody Bat		A9E89C
20839	Unpleasant Humming		A9E89C
20840	Death Flyer		A9E89C
20841	Fiend Archer		A9E89C
20842	Musveren		A9E89C
20843	Zaken's Royal Guard		A9E89C
20844	Kaim Vanul		A9E89C
20845	Pirate Zombie Captain		A9E89C
20846	Doll Blader		A9E89C
20847	Veil Master		A9E89C
20848	Light Bringer		A9E89C
20849	Light Worm		A9E89C
20850	Golden Stag Lord		A9E89C
20851	Theeder		A9E89C
20852	Banshee		A9E89C
20853	Kel Mahum		A9E89C
20854	Kel Mahum Warrior		A9E89C
20855	Kel Mahum Archer		A9E89C
20856	Kel Mahum Shaman		A9E89C
20857	Kel Mahum Champion		A9E89C
20858	Angel		A9E89C
20859	Guardian Angel		A9E89C
20860	Seal Angel		A9E89C
20861	Oel Mahum Champion		A9E89C
20862	Death Lord		A9E89C
20919	Maille Lizardman		A9E89C
20920	Maille Lizardman Scout		A9E89C
20921	Maille Lizardman Guard		A9E89C
20922	Maille Lizardman Warrior		A9E89C
20923	Maille Lizardman Shaman		A9E89C
20924	Maille Lizardman Matriarch		A9E89C
20925	Giant Araneid		A9E89C
20926	Poison Araneid		A9E89C
20927	King of the Araneid		A9E89C
20928	Hatu Weird Bee		A9E89C
20929	Hatu Dire Wolf		A9E89C
20930	Hatu Brown Bear		A9E89C
20931	Hatu Onyx Beast		A9E89C
20932	Hatu Crimson Bear		A9E89C
20933	Hatu Windsus		A9E89C
