# id	name	additionalname	description	popup	supercnt0	set_ids_cnt	set_ids_text	set_bonus_desc	supercnt1	set_extra_ids_cnt	set_extra_ids_text	set_extra_desc	UNK1_1	UNK1_2	UNK1_3	UNK1_4	UNK1_5	UNK1_6	UNK1_7	UNK1_8	UNK1_9	special_enchant_amount	special_enchant_desc	UNK2	
722	Hard Leather Boots			-1	0	0			0	0												0		1
723	Crafted Leather Boots			-1	0	0			0	0												0		1
724	Reinforced Boots			-1	0	0			0	0												0		1
725	Healing Drug		A magical, liquid medicine that restores HP for a certain amount of time.	-1	0	0			0	0												0		1
726	Mana Drug		A magical, liquid medicine that restores MP for a certain amount of time.	-1	0	0			0	0												0		1
727	Healing Potion		A magical, liquid medicine that restores HP for a certain amount of time.	-1	0	0			0	0												0		1
728	Mana Potion		A magical, liquid medicine that restores MP for a certain amount of time.	-1	0	0			0	0												0		1
729	Scroll: Enchant Weapon (A-Grade)		When enchanted, increases P. Atk. of  A-Grade weapons such as sword/one-handed, blunt weapon/one-handed, dagger, spear, etc. by 4. Increases P. Atk. of  sword/two-handed, blunt weapon/two-handed, dualsword, and fist-fighting weapon/two-handed by 5. Increases P. Atk. of bow weapons by 8. Increaes M. Atk. of all weapons by 3. From +4, doulbes P. Atk. and M. Atk. bonus for all weapon types. It can be safely enchanted up to +3.	-1	0	0			0	0												0		1
730	Scroll: Enchant Armor (A-Grade)		Increases P. Def. of A-Grade armor or accessory. Can be safely enchanted up to +3, although 1-piece armor can be enchanted up to +4. Also increases HP when armor is enchanted above +4.	-1	0	0			0	0												0		1
731	Crystal Scroll: Enchant Weapon (A-Grade)		A scroll of enchantment that empowers an A-Grade weapon.	-1	0	0			0	0												0		1
732	Crystal Scroll: Enchant Armor (A-Grade)		A scroll of enchantment that empowers an A-Grade armor.	-1	0	0			0	0												0		1
733	Endeavor Potion		A magical, liquid medicine that increases willpower.	-1	0	0			0	0												0		1
734	Haste Potion		A magical potion that increases movement speed	-1	0	0			0	0												0		1
735	Alacrity Potion		A magical potion that increases Atk. Spd.	-1	0	0			0	0												0		1
736	Scroll of Escape		A scroll of enchantment that relocates you to the nearest village.	-1	0	0			0	0												0		1
737	Scroll of Resurrection		A scroll of enchantment that resuscitates a dead person.	-1	0	0			0	0												0		1
739	Broken Sword Handle		The handle portion of the sword of solidarity. Take this to Blacksmith Altran.	-1	0	0			0	0												0		1
740	Broken Blade Bottom		Take this, and the upper portion of the blade to Blacksmith Altran.	-1	0	0			0	0												0		1
741	Broken Blade Top		Take this, and the lower portion of the blade to Blacksmith Altran.	-1	0	0			0	0												0		1
742	Altran's Note		A letter requesting the handle of the sword from Roien. Take this to Grand Master Roien of Cedric's Training Hall.	-1	0	0			0	0												0		1
745	Cobendell Medicine			-1	0	0			0	0												0		1
746	Alberius's List		Deliver the medicine to Sentinel Berros, Sentinel Veltress, Sentinel Rayen, and Sentinel Gartrandell.	-1	0	0			0	0												0		1
750	Kinship Crystal			-1	0	0			0	0												0		1
751	Cracked Kinship Crystal			-1	0	0			0	0												0		1
752	Orc Amulet		An amulet that the Orcs carry for magical purposes. Take this to Captain Gilbert.	-1	0	0			0	0												0		1
753	Silverleaf Brooch			-1	0	0			0	0												0		1
755	Colleen's Letter			-1	0	0			0	0												0		1
756	Mandragora Root			-1	0	0			0	0												0		1
757	Mandragora Essence			-1	0	0			0	0												0		1
758	Colleen's Receipt			-1	0	0			0	0												0		1
759	Etched Rune Sword			-1	0	0			0	0												0		1
760	Macabre Sword			-1	0	0			0	0												0		1
761	Thanatos Sword			-1	0	0			0	0												0		1
762	Gray Bone Chip			-1	0	0			0	0												0		1
763	Esther's Letter			-1	0	0			0	0												0		1
764	_			-1	0	0			0	0												0		1
765	Conspirator List			-1	0	0			0	0												0		1
766	Sabrin's Signet			-1	0	0			0	0												0		1
767	Sealed Scroll			-1	0	0			0	0												0		1
768	Oyen's Key			-1	0	0			0	0												0		1
769	Ricardo's Skull			-1	0	0			0	0												0		1
770	_			-1	0	0			0	0												0		1
771	Saythus's Skull			-1	0	0			0	0												0		1
772	Trayer's Skull			-1	0	0			0	0												0		1
773	Falimar's Skull			-1	0	0			0	0												0		1
774	Fallen Sword of Honor			-1	0	0			0	0												0		1
775	Sword of Honor			-1	0	0			0	0												0		1
776	Nameless Sword			-1	0	0			0	0												0		1
777	Sword of Black Ice			-1	0	0			0	0												0		1
778	Arodin's Letter			-1	0	0			0	0												0		1
779	Sabrin's Ring			-1	0	0			0	0												0		1
780	_			-1	0	0			0	0												0		1
781	Madclaw's Necklace			-1	0	0			0	0												0		1
782	Alex's Letter			-1	0	0			0	0												0		1
783	Alex's Receipt			-1	0	0			0	0												0		1
784	Glass Dagger			-1	0	0			0	0												0		1
785	Broken Glass Dagger			-1	0	0			0	0												0		1
786	Shadowguard Dagger			-1	0	0			0	0												0		1
787	Coroli's Key			-1	0	0			0	0												0		1
788	Midnight Onyx Necklace			-1	0	0			0	0												0		1
789	Song: Moonlight Whisper			-1	0	0			0	0												0		1
790	Bloodsteel Kris			-1	0	0			0	0												0		1
791	Karlun's Skull			-1	0	0			0	0												0		1
792	Karlun's Rib Bone			-1	0	0			0	0												0		1
793	Karlun's Thigh Bone			-1	0	0			0	0												0		1
794	Saint's Ash Urn			-1	0	0			0	0												0		1
795	Mace of Athebaldt			-1	0	0			0	0												0		1
796	Roien's Letter		A letter on which Roien summarized the historical information related to the sword of solidarity. Take this to Blacksmith Altran.	-1	0	0			0	0												0		1
797	Manuel's Letter			-1	0	0			0	0												0		1
798	Varan's Letter			-1	0	0			0	0												0		1
799	Groot's Letter			-1	0	0			0	0												0		1
800	Tome of Nassen			-1	0	0			0	0												0		1
801	Cursed Tome of Nassen			-1	0	0			0	0												0		1
802	Bloodthirsty Dagger			-1	0	0			0	0												0		1
803	Bloody Dagger			-1	0	0			0	0												0		1
804	Staff of Shane			-1	0	0			0	0												0		1
805	_			-1	0	0			0	0												0		1
806	Drake's Claw			-1	0	0			0	0												0		1
807	Flawless Drake's Claw			-1	0	0			0	0												0		1
808	Pushkin's Letter			-1	0	0			0	0												0		1
809	Bone Fragment		Bone fragments obtained from the undead skeletons. Collect ten of these and take to Tetrarch Kaitar.	-1	0	0			0	0												0		1
810	Altran's Letter			-1	0	0			0	0												0		1
811	Oil Paper			-1	0	0			0	0												0		1
812	_			-1	0	0			0	0												0		1
813	Heart Stone			-1	0	0			0	0												0		1
814	Pushkin's Receipt			-1	0	0			0	0												0		1
815	Leather Strap			-1	0	0			0	0												0		1
816	_			-1	0	0			0	0												0		1
817	Mithril Bottle			-1	0	0			0	0												0		1
818	Grace Unicorn's Horn			-1	0	0			0	0												0		1
819	Drake's Bone			-1	0	0			0	0												0		1
820	Zahak Fluids			-1	0	0			0	0												0		1
821	Bone Knife			-1	0	0			0	0												0		1
822	Drake Knife			-1	0	0			0	0												0		1
823	Dull Dagger			-1	0	0			0	0												0		1
824	Siriel's Note			-1	0	0			0	0												0		1
825	Raien's Letter			-1	0	0			0	0												0		1
826	Silver Spores			-1	0	0			0	0												0		1
827	Star Dust			-1	0	0			0	0												0		1
828	Song of Awakening			-1	0	0			0	0												0		1
829	Spirit Dagger			-1	0	0			0	0												0		1
830	Medallion of Kwyllinas			-1	0	0			0	0												0		1
831	Echo Crystal			-1	0	0			0	0												0		1
832	Green Echo Crystal			-1	0	0			0	0												0		1
833	Red Echo Crystal			-1	0	0			0	0												0		1
834	Aquamarine Echo Crystal			-1	0	0			0	0												0		1
835	Blue Echo Crystal			-1	0	0			0	0												0		1
836	Book of Kwyllinas			-1	0	0			0	0												0		1
837	Fairy Dust			-1	0	0			0	0												0		1
838	Vellior's Letter			-1	0	0			0	0												0		1
839	Icarus's Letter			-1	0	0			0	0												0		1
840	Drevanul Skull			-1	0	0			0	0												0		1
841	Icarus's Order Form			-1	0	0			0	0												0		1
842	Basilisk Ink			-1	0	0			0	0												0		1
843	Book of Aklantoth			-1	0	0			0	0												0		1
844	Book of Aklantoth P1 ~ P10			-1	0	0			0	0												0		1
937	Directions to Ruins		Follow the northwestern path from the village, and head west when you meet the Obelisk of Victory. The entrance to the ruins lies at the slope of the mountain.	-1	0	0			0	0												0		1
938	Deck			-1	0	0			0	0												0		1
939	Gara's Quest Item #11			-1	0	0			0	0												0		1
940	Gara's Quest Item #12			-1	0	0			0	0												0		1
941	Gara's Proof of Bravery			-1	0	0			0	0												0		1
942	Gara's Proof of Justice			-1	0	0			0	0												0		1
943	Gara's Proof of Despair			-1	0	0			0	0												0		1
944	Deathknight Skull			-1	0	0			0	0												0		1
947	Scroll: Enchant Weapon (B-Grade)		When enchanted, P. Atk. of B-Grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 3. P. Atk. of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 4. P. Atk. of bow weapons increases by 6. M. Atk. of all weapons increases by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types. It can be safely enchanted up to +3.	-1	0	0			0	0												0		1
948	Scroll: Enchant Armor (B-Grade)		Increases P. Def. of B-Grade armor or accessory. Can be safely enchanted up to +3, although 1-piece armor can be enchanted up to +4. Also increases HP when armor is enchanted above +4.	-1	0	0			0	0												0		1
949	Crystal Scroll: Enchant Weapon (B-Grade)		A scroll of enchantment that empowers a B-Grade weapon.	-1	0	0			0	0												0		1
950	Crystal Scroll: Enchant Armor (B-Grade)		A scroll of enchantment that empowers a B-Grade armor.	-1	0	0			0	0												0		1
951	Scroll: Enchant Weapon (C-Grade)		When enchanted, P. Atk. of C-Grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 3. P. Atk. of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 4. P. Atk. of bow weapons increases by 6. M. Atk. of all weapons increases by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types. It can be safely enchanted up to +3.	-1	0	0			0	0												0		1
952	Scroll: Enchant Armor (C-Grade)		Increases P. Def. of C-Grade armor or accessory. Can be safely enchanted up to +3, although 1-piece armor can be enchanted up to +4. Also increases HP when armor is enchanted above +4.	-1	0	0			0	0												0		1
953	Crystal Scroll: Enchant Weapon (C-Grade)		A scroll of enchantment that empowers a C-Grade weapon.	-1	0	0			0	0												0		1
954	Crystal Scroll: Enchant Armor (C-Grade)		A scroll of enchantment that empowers a C-Grade armor.	-1	0	0			0	0												0		1
955	Scroll: Enchant Weapon (D-Grade)		When enchanted P. Atk. of all D-Grade weapons will increase by 2 with the exception of bows, which will increase by 4. M. Atk. of all weapons increases by 2. From +4, P. Atk. and M. Atk. bonus will double for all weapon types. It can be safely enchanted up to +3.	-1	0	0			0	0												0		1
956	Scroll: Enchant Armor (D-Grade)		Increases P. Def. of D-Grade armor or accessory. Can be safely enchanted up to +3, although 1-piece armor can be enchanted up to +4. Also increases HP when armor is enchanted above +4.	-1	0	0			0	0												0		1
957	Crystal Scroll: Enchant Weapon (D-Grade)		A scroll of enchantment that empowers a D-Grade weapon.	-1	0	0			0	0												0		1
958	Crystal Scroll: Enchant Armor (D-Grade)		A scroll of enchantment that empowers a D-Grade armor.	-1	0	0			0	0												0		1
959	Scroll: Enchant Weapon (S-Grade)		When enchanted, P. Atk. of S-Grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 5. P. Atk. of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 6. P. Atk. of bow weapons increases by 10. M. Atk. of all weapons increases by 4. From +4, P. Atk. and M. Atk. bonus will double for all weapon types. It can be safely enchanted up to +3.	-1	0	0			0	0												0		1
960	Scroll: Enchant Armor (S-Grade)		Increases P. Def. of S-Grade armor or accessory. Can be safely enchanted up to +3, although 1-piece armor can be enchanted up to +4. Also increases HP when armor is enchanted above +4.	-1	0	0			0	0												0		1
961	Crystal Scroll: Enchant Weapon (S-Grade)		A scroll of enchantment that empowers a S-Grade weapon.	-1	0	0			0	0												0		1
962	Crystal Scroll: Enchant Armor (S-Grade)		A scroll of enchantment that empowers a S-Grade armor	-1	0	0			0	0												0		1
963	Orcish Arrowhead		An arrowhead that Turath orc marksmen use on Talking Island. Collect these and take to Master Minia.	-1	0	0			0	0												0		1
964	Alberius's Letter		A letter from Alberius. Take this to Master Cobendell.	-1	0	0			0	0												0		1
965	Evergreen Amulet		A necklace set with a green elemental stone. You must possess this to slay the dryad and obtain the dryad's tears.	-1	0	0			0	0												0		1
966	Dryad's Tears		A jewel that contains the essence of a dryad's soul. Gather ten of these and take them to Master Cobendell.	-1	0	0			0	0												0		1
967	Cobendell Medicine		Cobendell's medicine	-1	0	0			0	0												0		1
968	Karrod's Letter		A letter written by Blacksmith Karrod. Take this to the Abyssal Celebrant Cecktinon in the Shilen Temple.	-1	0	0			0	0												0		1
969	Cecktinon's First Voucher		An introduction letter from the Abyssal Celebrant Cecktinon. Take this and seek Magister Harne in the village.	-1	0	0			0	0												0		1
970	Cecktinon's Second Voucher		An introduction letter from the Abyssal Celebrant Cecktinon. Go to the School of Dark Arts, hunt skeletons, and gather 10 bone fragments.	-1	0	0			0	0												0		1
971	Soul Catcher		An item used during the exorcism ritual to call upon a spirit of the dead. Take this to the Abyssal Celebrant Cecktinon.	-1	0	0			0	0												0		1
972	Preserving Oil		An oil that when used, prevents the rotting of corpses. Take this and go hunt zombies in the swamps.	-1	0	0			0	0												0		1
973	Zombie Head		The head of tree Elf zombies that have been cut after they are defeated. Take this to the abyssal celebrant Cecktinon.	-1	0	0			0	0												0		1
974	Steelbender Head		Please, I beg of you!  Don't take me to that brutal blacksmith!	-1	0	0			0	0												0		1
976	1st Mark of Sentinel		A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Tanuki skullcrusher and report to Sentinel Kendell.	-1	0	0			0	0												0		1
977	2nd Mark of Sentinel		A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Bhato bloodspear and report to Sentinel Kendell.	-1	0	0			0	0												0		1
978	Skullcrusher Amulet		The amulet that represents the Skullcrusher Orc tribe. Take this to Sentinel Kendell.	-1	0	0			0	0												0		1
979	Bloodspear Amulet		The amulet that represents the Bloodspear Orc tribe. Take this to Sentinel Kendell.	-1	0	0			0	0												0		1
980	0		0	-1	0	0			0	0												0		1
982	Esrandell's Letter		Esrandell's introduction	-1	0	0			0	0												0		1
983	Kendell's Letter		Kendell's letter	-1	0	0			0	0												0		1
984	1st Onyx Talisman		A necklace crafted of onyx. Take this to Abyssal Celebrant Kartia.	-1	0	0			0	0												0		1
985	2nd Onyx Talisman		A necklace crafted of onyx. Recover the original scrolls from the blackskull Orcs and bring them to Abyssal Celebrant Kartia.	-1	0	0			0	0												0		1
986	Ancient Scroll		An ancient scroll called Kaysha's Revelation. Take it along with the clay tablet to Abyssal Celebrant Kartia.	-1	0	0			0	0												0		1
987	Ancient Clay Tablet		An ancient clay tablet engraved with text. Take it along with the ancient scroll to Abyssal Celebrant Kartia.	-1	0	0			0	0												0		1
988	Kartia's Translation		Kartia's translation of Kaysha's Revelations. Take it to Tetrarch Thifiell.	-1	0	0			0	0												0		1
1001	Book of Aklantoth - Part 4			-1	0	0			0	0												0		1
1002	Book of Aklantoth - Part 5			-1	0	0			0	0												0		1
1003	Book of Aklantoth - Part 6			-1	0	0			0	0												0		1
1004	Book of Aklantoth - Part 7			-1	0	0			0	0												0		1
1005	Book of Aklantoth - Part 8			-1	0	0			0	0												0		1
1006	Book of Aklantoth - Part 9			-1	0	0			0	0												0		1
1007	Book of Aklantoth - Part 10			-1	0	0			0	0												0		1
1008	Harrys's 1st Receipt		A receipt Harrys received after ordering tools. Take this and go to Blacksmith Altran.	-1	0	0			0	0												0		1
1009	Harrys's 2nd Receipt		The receipt that Harrys has received after placing an order for his tools. Go and gather golem shards needed for creating the tool.	-1	0	0			0	0												0		1
1010	Golem Shard		Shards of rock that have fallen from the Golem's body. Gather 5 and take them to Blacksmith Altran.	-1	0	0			0	0												0		1
1011	Tool Box		A toolbox containing the tools that Blacksmith Altran has forged. Take this to Magister Harrys at the temple.	-1	0	0			0	0												0		1
1012	Delivery List		Take the heavy wooden box to Trader Jackson. The bolts of cloth to Trader Silvia. Take the clay pot to the warehouse keeper Rant.	-1	0	0			0	0												0		1
1013	Heavy Wood Box		The wooden box to be delivered to Trader Jackson of the weapons shop.	-1	0	0			0	0												0		1
1014	Cloth Bundle		Bolts of cloth that need to be delivered to Trader Silvia of the grocery store.	-1	0	0			0	0												0		1
1015	Clay Pot		The clay pot that must be delivered to the warehouse keeper Rant.	-1	0	0			0	0												0		1
1016	Jackson's Receipt		The receipt that Jackson has issued upon receiving his wooden box. Take this to Guard Arnold.	-1	0	0			0	0												0		1
1017	Silvia's Receipt		The receipt that Silvia has issued upon receiving her bolts of cloth. Take this to Guard Arnold.	-1	0	0			0	0												0		1
1018	Rant's Receipt		The receipt issued by Rant upon his receiving of the clay pot. Take this to Guard Arnold.	-1	0	0			0	0												0		1
1019	Official Letter		An official letter that the Lord of Gludio has sent to Sir Colin Windawood, calling a meeting. Deliver this to Sir Windawood.	-1	0	0			0	0												0		1
1020	Flame Shard		A fragment of soul ore of fire. Can be taken from the fire spirit salamander. Give it to Trader Katerina.	-1	0	0			0	0												0		1
1021	Ice Shard		A fragment of elemental stone of water. Can be taken from the water spirit undine. Give to Trader Katerina.	-1	0	0			0	0												0		1
1022	Lilith's Letter		A letter written by Lilith in longing for her lover, separated a thousand years ago. Find out news about her lover for her.	-1	0	0			0	0												0		1
1023	Theon's Diary		A diary written by Theon in longing for his lover, separated a thousand years ago. Take this to Lilith.	-1	0	0			0	0												0		1
1024	Adamantite Ore		Adamantite ore. All of it is imported from Gracia. Gather 20 of these and take them to Warehouse Keeper Wilford.	-1	0	0			0	0												0		1
1025	Clay Tablet		A tablet praising Beleth that the devil Nerkas possessed. Deliver this to High Priest Biotin.	-1	0	0			0	0												0		1
1026	Silvery Spidersilk		The spider silk of the silver spider. Take this to Trader Unoren of the weapons shop.	-1	0	0			0	0												0		1
1027	Unoren's Receipt		The receipt issued by the magic shop. Take this and go to Trader Creamees.	-1	0	0			0	0												0		1
1028	Creamees's Ticket		A ticket issued by the warehouse. Take this and go to Warehouse Keeper Julia.	-1	0	0			0	0												0		1
1029	Nightshade Leaf		The leaf of the nightshade plant. Take this to Nerupa.	-1	0	0			0	0												0		1
1030	Cracked Skull		The cracked skull of the Dark Horror. Take this to Magister Vlasty.	-1	0	0			0	0												0		1
1031	Perfect Skull		Skull of the dark horror. Take this to Magister Vlasty.	-1	0	0			0	0												0		1
1032	Fox Fur		A mane of keltirs. It is soft and luxurious, and used to spin thread and yarn. Take this to Cristel.	-1	0	0			0	0												0		1
1033	Fox Fur Yarn		Yarn spun out of the fur of keltirs. Take this to the former tailor Warehouse Keeper Rolfe, and he will make it into the doll's hair.	-1	0	0			0	0												0		1
1034	Maiden Doll		A doll resembling a Human maiden. Take this to Lighthouse Keeper Rockswell.	-1	0	0			0	0												0		1
1035	Plague Dust		A powder obtained from the plague zombie. Take this to Hierarch Asterios.	-1	0	0			0	0												0		1
1036	Andellia's Letter		A letter from Andellia asking her sister Thalia to send her the fruit of the Mother Tree.	-1	0	0			0	0												0		1
1037	Fruit of the Mother Tree		Fruit that the Mother Tree bears once every few years. Take this to Andellia.	-1	0	0			0	0												0		1
1038	Rumiel's 1st Poem		The scroll containing Rumiel Moonshine's first poem. Gather all four and take them to Sentinel Starden.	-1	0	0			0	0												0		1
1039	Rumiel's 2nd Poem		The scroll containing Rumiel Moonshine's second poem. Gather all four and take them to Sentinel Starden.	-1	0	0			0	0												0		1
1040	Rumiel's 3rd Poem		The scroll containing Rumiel Moonshine's third poem. Gather all four and take them to Sentinel Starden.	-1	0	0			0	0												0		1
1041	Rumiel's 4th Poem		The scroll containing Rumiel Moonshine's fourth poem. Gather all four and take them to Sentinel Starden.	-1	0	0			0	0												0		1
1042	Wererat's Fang		The fang of a dead ratman. Collect these to take to Master Ellenia.	-1	0	0			0	0												0		1
1043	Varool Foulclaw's Fang		The fang of Varool Foulclaw, leader of the ratmen. Take this to Master Ellenia.	-1	0	0			0	0												0		1
1044	Kirunak Skull		Kirunak's skull obtained after killing Kirunak, the leader of the drevanuls. Take this to Trader Creamees.	-1	0	0			0	0												0		1
1045	Zombie's Skin		A skin obtained from marshland zombies. Collect five and go to Trader Minaless.	-1	0	0			0	0												0		1
1046	Nightmare Crystal		A crystal used by the succubus Merkenis to cast nightmares. Take this to Tetrarch Vellior.	-1	0	0			0	0												0		1
1047	Spellbook: Light		Spellbook needed to learn Light.	-1	0	0			0	0												0		1
1048	Spellbook: Might		Spellbook needed to learn Might. Used by Human Mystics, Elven Mystics and Dark Mystics.\nRequired level: 7	-1	0	0			0	0												0		1
1049	Spellbook: Ice Bolt		Spellbook needed to learn Ice Bolt. Used by Human Mystics, Elven Mystics and Dark Mystics.\nRequired level: 7	-1	0	0			0	0												0		1
1050	Spellbook: Battle Heal		Spellbook needed to learn Battle Heal. Used by Human Mystics, Elven Mystics and Dark Mystics.\nRequired level: 14	-1	0	0			0	0												0		1
1051	Spellbook: Vampiric Touch		Spellbook needed to learn Vampiric Touch. Used by Human Mystics and Dark Mystics.\nRequired level: 14	-1	0	0			0	0												0		1
1052	Spellbook: Flame Strike		Spellbook needed to learn Flame Strike. Used by Human Wizards, Elven Wizards and Dark Wizards.\nRequired level: 20	-1	0	0			0	0												0		1
1053	Spellbook: Cure Poison		Spellbook needed to learn Cure Poison. Used by Human Mystics, Elven Mystics and Dark Mystics.\nRequired level: 7	-1	0	0			0	0												0		1
1054	Spellbook: Group Heal		Spellbook needed to learn Group Heal. Used by Human Mystics, Elven Mystics and Dark Mystics.\nRequired level: 14	-1	0	0			0	0												0		1
1055	Spellbook: Curse: Poison		Spellbook needed to learn Curse: Poison. Used by Human Mystics and Dark Mystics.\nRequired level: 7	-1	0	0			0	0												0		1
1056	Spellbook: Curse: Weakness		Spellbook needed to learn Curse: Weakness. Used by Human Mystics and Elven Mystics.\nRequired level: 14	-1	0	0			0	0												0		1
1057	Spellbook: Summon Meal		Spellbook needed to learn Summon Meal. Used by Human Mystics and Elven Mystics.	-1	0	0			0	0												0		1
